text,predicted_class,confidence,user_category,ablation_mode,explanation,lime_coverage,ontology_hit_rate,flesch_reading_ease,flesch_kincaid_grade,smog_index,experiment,generation_mode,example_id,explanation_word_count
Patient age and results of balloon aortic valvuloplasty: the Mansfield Scientifi…,Cardiovascular diseases,0.87,BEGINNER,normal,"assistant
The model predicted cardiovascular diseases because it identified heart failure and valve as key features. Heart failure is a condition where the heart can't pump enough blood to meet the body's needs. Valves are parts of the heart that keep blood flowing in the right direction. Both of these features are related to the cardiovascular system, which includes the heart and blood vessels. Therefore, the model likely inferred that the patient has cardiovascular diseases based on these symptoms.",1.0,1.0,52.65369620253165,9.840354430379753,11.602472056035309,BEGINNER / constrained decoding,constrained_decoding,12,79
How ancient is temporal arteritis? Realism is one of the characteristics of Amar…,Cardiovascular diseases,0.9191,BEGINNER,normal,"assistant
The model predicted that the patient has cardiovascular diseases because the key feature identified, blindness, is related to a disease of the nervous system, which is a type of cardiovascular disease. The ontology path shows that blindness is part of the broader category of nervous system diseases, which are a subset of cardiovascular diseases. Therefore, the model likely inferred that the presence of blindness is indicative of cardiovascular issues, leading to the prediction.",1.0,1.0,19.457792792792816,16.673243243243245,15.903189008614271,BEGINNER / constrained decoding,constrained_decoding,13,74
The role of elective lymph node dissection in the management of patients with th…,Neoplasms,0.8583,BEGINNER,normal,"assistant
The model predicted that the patient has neoplastic tissue, which means abnormal growth of cells. The key features identified as influential are melanoma and lymph. 

Melanoma is a type of cancer that starts in the skin and can spread to other parts of the body. Lymph, on the other hand, is a fluid that helps fight infections and contains white blood cells. In the context of the model's prediction, melanoma is likely to be a significant factor, as it is a form of neoplasia. The presence of melanoma suggests that there may be abnormal cell growth in the patient's skin, which could be indicative of a neoplasm. The lymph component is less directly related to the prediction, but it could be part of a larger immune response that might contribute to the overall condition.",1.0,1.0,54.406666666666695,10.461798941798945,13.707050652182112,BEGINNER / constrained decoding,constrained_decoding,14,135
Systemic chemotherapy for urothelial cancer in patients with ureteric obstructio…,Neoplasms,0.6457,BEGINNER,normal,"The model predicted Neoplasms, but no ontology-based features were available to explain this decision.",0.0,0.0,17.382142857142867,14.312857142857148,14.554592549557764,BEGINNER / constrained decoding,constrained_decoding,15,14
Central nervous system vasculitis after chickenpox--cause or coincidence? A 7.5 …,Cardiovascular diseases,0.4682,BEGINNER,normal,"assistant
The model predicted that the patient has cardiovascular diseases because it identified features related to the cardiovascular system. The key influential tokens are ""vasculitis,"" ""chickenpox,"" ""brain,"" and ""artery."" ""Vasculitis"" refers to inflammation of the blood vessels, which can lead to cardiovascular issues. ""Chickenpox"" is a viral infection that can affect the nervous system, potentially leading to neurological problems. ""Brain"" is part of the central nervous system and can be affected by cardiovascular diseases. ""Artery"" is an artery, which is a type of blood vessel that carries blood from the heart to the rest of the body. All of these features point to cardiovascular diseases as the most likely diagnosis.",1.0,1.0,31.68318181818185,12.744025974025975,14.138980108339055,BEGINNER / constrained decoding,constrained_decoding,16,110
Intraepithelial anchoring fibril components. Cultured human keratinocytes and cu…,Neoplasms,0.8585,BEGINNER,normal,"assistant
The model predicted that the patient has neoplastic conditions because it identified the presence of carcinoma, which is a type of neoplasm. Carcinoma is a cancer that originates in the epithelial cells of the skin, glands, or internal organs. In this case, the model detected carcinoma in the patient, indicating that there is an abnormal growth of cells in the body, which falls under the broader category of neoplasia.",1.0,1.0,33.28880952380953,14.412857142857144,16.728156217252725,BEGINNER / constrained decoding,constrained_decoding,17,70
The effects of nonthyroid disease and drugs on thyroid function tests. Serious n…,General pathological conditions,0.6815,BEGINNER,normal,"The model predicted General pathological conditions, but no ontology-based features were available to explain this decision.",0.0,0.0,-10.329999999999984,18.675,18.243605946275583,BEGINNER / constrained decoding,constrained_decoding,18,16
Prostatic duct adenocarcinoma. Findings at radical prostatectomy. Previous studi…,Neoplasms,0.8511,BEGINNER,normal,"The model predicted Neoplasms, but no ontology-based features were available to explain this decision.",0.0,0.0,17.382142857142867,14.312857142857148,14.554592549557764,BEGINNER / constrained decoding,constrained_decoding,19,14
Review of clinical experience with digoxin immune Fab (ovine). Following the dev…,General pathological conditions,0.4776,BEGINNER,normal,"assistant
The model predicted that the patient has a general pathological condition because the key features identified were related to the heart and a lack of potassium in the blood. The heart is a vital organ that plays a crucial role in pumping blood throughout the body. When the heart is affected, it can lead to various health issues. On the other hand, low potassium levels in the body, which is known as hyperkalemia, can also be a cause for concern. Both of these conditions fall under the broader category of general pathological conditions, which encompasses a wide range of health issues that do not specifically target a particular organ or system but affect the body as a whole.",0.5,1.0,44.75867226890756,12.92897478991597,14.554592549557764,BEGINNER / constrained decoding,constrained_decoding,20,119
Effect of increased left atrial pressure on breathing frequency in anesthetized …,Cardiovascular diseases,0.7793,BEGINNER,normal,"assistant
The model predicted that the patient has cardiovascular diseases because it identified the heart as a key feature. The heart is a vital organ in the cardiovascular system, responsible for pumping blood throughout the body. When the model focuses on the heart, it likely inferred that there might be issues with the heart's function or structure, which could indicate cardiovascular diseases such as heart disease, arrhythmias, or heart failure.",1.0,1.0,33.28880952380953,14.412857142857144,14.554592549557764,BEGINNER / constrained decoding,constrained_decoding,21,70
Extracorporeal shock wave lithotripsy of gallstones: results and 6-month follow-…,Digestive system diseases,0.8115,BEGINNER,normal,"The model predicted Digestive system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,5.532499999999999,16.462500000000002,17.122413403193683,BEGINNER / constrained decoding,constrained_decoding,22,16
A biphasic pattern of anti-pre-S responses in acute hepatitis B virus infection.…,Digestive system diseases,0.7331,BEGINNER,normal,"assistant
The model predicted that the patient has a digestive system disease because it identified ""liver"" and ""disease"" as influential features. The liver is a vital organ in the digestive system that plays a crucial role in filtering blood, producing bile, and metabolizing nutrients. When the liver is affected by a disease, it can lead to various digestive system issues, such as jaundice, liver cirrhosis, or gallstones. Therefore, the model likely inferred that the presence of the liver and a disease in the patient's medical history indicates a potential digestive system issue.",1.0,1.0,32.681304347826114,14.414782608695656,15.579741850924794,BEGINNER / constrained decoding,constrained_decoding,23,92
Surgical prophylaxis of malignant melanoma. A review of a 14-year experience wit…,Neoplasms,0.8733,BEGINNER,normal,"The model predicted Neoplasms, but no ontology-based features were available to explain this decision.",0.0,0.0,17.382142857142867,14.312857142857148,14.554592549557764,BEGINNER / constrained decoding,constrained_decoding,24,14
"Rapid, nonradioactive detection of clonal T-cell receptor gene rearrangements in…",Neoplasms,0.7611,BEGINNER,normal,"The model predicted Neoplasms, but no ontology-based features were available to explain this decision.",0.0,0.0,17.382142857142867,14.312857142857148,14.554592549557764,BEGINNER / constrained decoding,constrained_decoding,25,14
Cavernous hemangioma of the spinal cord: report of 2 unusual cases. We present 2…,Neoplasms,0.7727,BEGINNER,normal,"assistant
The model predicted that the patient has a neoplasm, which is a type of abnormal growth or tumor. The key features identified as influential are ""hemangioma"" and ""spinal cord."" Hemangiomas are benign tumors that grow from blood vessels, and they can occur in various parts of the body, including the brain and spinal cord. The spinal cord is a critical part of the central nervous system that controls movement, sensation, and other vital functions. Since both hemangiomas and spinal cords are abnormal growths or tumors, the model likely inferred that the presence of these conditions in the patient's anatomy could lead to a diagnosis of ""neoplasm.""",1.0,1.0,45.95885981308413,12.165345794392524,13.968273953766031,BEGINNER / constrained decoding,constrained_decoding,26,107
Histochemical demonstration of 5'-nucleotidase activity in inflammatory muscle d…,General pathological conditions,0.6255,BEGINNER,normal,"assistant
The model predicted that the patient has a general pathological condition because the key features identified are muscular dystrophies, which are diseases that affect the muscles. These conditions are part of the broader category of diseases, which means they fall under the general category of pathological conditions. Therefore, the model likely inferred from the presence of these specific diseases that the overall condition of the patient is pathological, even if it involves more than one type of disease.",1.0,1.0,22.68641350210973,16.636962025316453,18.243605946275583,BEGINNER / constrained decoding,constrained_decoding,27,79
Refeeding of infants with acute diarrheal disease. The purpose of this study was…,Digestive system diseases,0.7134,BEGINNER,normal,"assistant
The model predicted that the patient has a digestive system disease because the patient experienced symptoms like diarrhea and vomiting, which are common in digestive system conditions. Diarrhea involves loose, watery stools, often due to inflammation or infection in the intestines. Vomiting, on the other hand, is the forceful expulsion of stomach contents through the mouth, typically caused by irritation or inflammation in the stomach or esophagus. Both of these symptoms are directly related to issues within the digestive system, such as infections, ulcers, or inflammatory bowel diseases. Additionally, the presence of carbohydrates in the patient's diet might have contributed to these symptoms, as carbohydrates can sometimes trigger digestive issues.",1.0,1.0,21.19929729729733,15.81754954954955,17.122413403193683,BEGINNER / constrained decoding,constrained_decoding,28,111
HBV-DNA detection by gene amplification in acute hepatitis B. Serum samples from…,Digestive system diseases,0.7323,BEGINNER,normal,"assistant
The model predicted that the patient has a digestive system disease because it identified two key features: hepatitis B and hepatitis. Hepatitis B is a disease that affects the liver, which is a part of the digestive system. Similarly, hepatitis is a type of liver disease. Both of these conditions fall under the broader category of digestive system diseases. Therefore, the model inferred that the disease is related to the gastrointestinal system.",1.0,1.0,35.563945205479484,11.92591780821918,13.348371206891418,BEGINNER / constrained decoding,constrained_decoding,29,73
Left ventricular diastolic function in patients with left ventricular systolic d…,Cardiovascular diseases,0.9485,BEGINNER,normal,"assistant
The model predicted that the patient has a cardiovascular disease because it identified two key tokens: ""cardiomyopathy"" and ""coronary artery disease."" These terms are part of the broader category of cardiovascular diseases, which include conditions affecting the heart and blood vessels. ""Cardiomyopathies"" refer to diseases of the heart muscle, while ""atherosclerosis"" is a type of cardiovascular disease characterized by the buildup of plaque in the arteries. Both of these conditions fall under the broader umbrella of cardiovascular illnesses, making ""cardiovascular disease"" the most likely diagnosis for this patient.",1.0,1.0,13.150126404494388,16.952668539325845,17.122413403193683,BEGINNER / constrained decoding,constrained_decoding,30,89
Oxygen uptake and heart rate responses during hypoxic exercise in children and a…,General pathological conditions,0.5042,BEGINNER,normal,"The model predicted General pathological conditions, but no ontology-based features were available to explain this decision.",0.0,0.0,-10.329999999999984,18.675,18.243605946275583,BEGINNER / constrained decoding,constrained_decoding,31,16
Cellular immune response to hepatitis B virus-encoded antigens in acute and chro…,Digestive system diseases,0.7009,BEGINNER,normal,"assistant
The model predicted that the patient has a digestive system disease because it identified the presence of the liver and two types of hepatitis (hepatitis B and hepatitis E) in the patient's medical records. The liver is an organ in the digestive system, and both hepatitis B and E are infectious diseases that can affect the liver. Therefore, the model likely inferred that the liver is involved in these diseases, leading to the prediction of digestive system diseases.",1.0,1.0,32.324388185654044,15.2926582278481,16.32212239822248,BEGINNER / constrained decoding,constrained_decoding,32,79
"CV 205-502--effectiveness, tolerability, and safety over 24-month study. Twenty …",General pathological conditions,0.5862,BEGINNER,normal,"The model predicted General pathological conditions, but no ontology-based features were available to explain this decision.",0.0,0.0,-10.329999999999984,18.675,18.243605946275583,BEGINNER / constrained decoding,constrained_decoding,33,16
The usefulness of simultaneous determinations of glucosaminylation and fucosylat…,Neoplasms,0.7992,BEGINNER,normal,"assistant
The model predicted that the patient has neoplastic conditions because it identified the presence of carcinoma, which is a type of neoplasm. Carcinoma is a cancer that originates in the epithelial cells of the skin, glands, or internal organs. In this case, the model detected carcinoma in the patient, indicating that there is an abnormal growth of cells in the body, which falls under the broader category of neoplasia.",1.0,1.0,33.28880952380953,14.412857142857144,16.728156217252725,BEGINNER / constrained decoding,constrained_decoding,34,70
Unusual aspects of aortovenous fistulas associated with ruptured abdominal aorti…,Cardiovascular diseases,0.718,BEGINNER,normal,"assistant
The model predicted that the patient has a cardiovascular disease because it identified a 'vein' as an influential feature. Veins are blood vessels that carry blood from the body back to the heart. In the context of cardiovascular diseases, veins play a crucial role in the circulatory system, which is essential for delivering oxygen and nutrients to the body's tissues and removing waste products. Therefore, the presence of a vein in the patient's condition suggests a cardiovascular issue.",1.0,1.0,34.72292721518991,13.322626582278485,14.191785591663535,BEGINNER / constrained decoding,constrained_decoding,35,79
Treatment of cervical spondylotic myelopathy by enlargement of the spinal canal …,Nervous system diseases,0.6074,BEGINNER,normal,"The model predicted Nervous system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,10.820000000000022,15.725000000000003,15.903189008614271,BEGINNER / constrained decoding,constrained_decoding,36,16
Stroke rehabilitation: Australian patient profile and functional outcome. A pros…,Nervous system diseases,0.5932,BEGINNER,normal,"The model predicted Nervous system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,10.820000000000022,15.725000000000003,15.903189008614271,BEGINNER / constrained decoding,constrained_decoding,37,16
Systemic hypertension in sleep apnea syndrome. Relationship with sleep architect…,Cardiovascular diseases,0.5745,BEGINNER,normal,"assistant
The model predicted cardiovascular diseases because it identified hypertension and apnea as key features. Hypertension is a condition where the blood pressure in the arteries is consistently high, which can strain the heart and blood vessels over time. Apnea, on the other hand, is a breathing disorder where a person temporarily stops breathing during sleep. Both of these conditions are related to the cardiovascular system and can contribute to the development of cardiovascular diseases.",1.0,1.0,24.24375000000001,14.535833333333336,16.218646115125612,BEGINNER / constrained decoding,constrained_decoding,38,75
Circadian variations in myocardial ischemia. Implications for management. Extend…,Cardiovascular diseases,0.8209,BEGINNER,normal,"assistant
The model predicted cardiovascular diseases because it identified ischemia as a key feature. Ischemia refers to a lack of blood flow to tissues, which can lead to damage or death of those tissues. In the context of cardiovascular diseases, ischemia often occurs in the heart, leading to conditions like heart attacks. Therefore, the model likely considered ischemia to be a significant risk factor for cardiovascular diseases based on this information.",1.0,1.0,25.576496478873253,14.101514084507045,14.90622815163357,BEGINNER / constrained decoding,constrained_decoding,39,71
Characterization of auscultatory gaps with wideband external pulse recording. Th…,Cardiovascular diseases,0.7493,BEGINNER,normal,"The model predicted Cardiovascular diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,-11.429999999999978,18.58,17.122413403193683,BEGINNER / constrained decoding,constrained_decoding,40,15
Infantile form of carnitine palmitoyltransferase II deficiency with hepatomuscul…,Digestive system diseases,0.5239,BEGINNER,normal,"assistant
The model predicted that the patient has a digestive system disease because it identified the heart as a key feature. In the biomedical ontology, the heart is a part of the circulatory system, which is closely related to the digestive system. When the model focuses on the heart, it likely inferred that there might be an issue with blood flow or heart function, which could potentially affect the digestive process. Therefore, the model flagged digestive system diseases as a possible diagnosis.",1.0,1.0,40.55676829268293,12.695243902439028,14.554592549557764,BEGINNER / constrained decoding,constrained_decoding,41,82
Amyotrophic lateral sclerosis: fasting plasma levels of cysteine and inorganic s…,Nervous system diseases,0.729,BEGINNER,normal,"assistant
The model predicted that the patient has a nervous system disease because it identified the brain as a key feature. The brain is a part of the nervous system, and diseases affecting the brain are classified as nervous system diseases. Therefore, the model likely inferred that the presence of the brain in the patient's condition suggests they have a disease related to the brain, such as a stroke, epilepsy, or Alzheimer's disease.",1.0,1.0,46.54488584474888,12.812328767123288,14.06817628641468,BEGINNER / constrained decoding,constrained_decoding,42,73
Resection of the primary liver cancer of the hepatic hilus. Primary liver cancer…,Neoplasms,0.7682,BEGINNER,normal,"assistant
The model predicted that the patient has neoplastic conditions because it identified the presence of cancer, which is a type of neoplasm. Cancer is a disease characterized by the uncontrolled growth and division of cells, leading to the formation of tumors. In this case, the model detected cancer as an influential feature, indicating a high likelihood of the patient having a neoplasia, which includes both benign and malignant tumors.",1.0,1.0,33.28880952380953,14.412857142857144,16.32212239822248,BEGINNER / constrained decoding,constrained_decoding,43,70
Pulmonary resection combined with cardiac operations. Surgical management of pat…,Cardiovascular diseases,0.4145,BEGINNER,normal,"The model predicted Cardiovascular diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,-11.429999999999978,18.58,17.122413403193683,BEGINNER / constrained decoding,constrained_decoding,44,15
Neuro-ophthalmic manifestations of human immunodeficiency virus infection. Both …,Neoplasms,0.5218,BEGINNER,normal,"assistant
The model predicted that the patient has neoplastic tissue, which means abnormal growth of cells. The key feature identified is ""brain,"" which is part of the patient's anatomy. In the biomedical context, ""brain"" refers to the central nervous system, including the cerebrum, cerebellum, and brainstem. Since the model focused on the brain, it likely inferred that there might be abnormal cell growth in this area, leading to the prediction of ""Neoplasm.""",1.0,1.0,47.565,11.096666666666668,13.427899808715576,BEGINNER / constrained decoding,constrained_decoding,45,72
Postlaminectomy ossified extradural pseudocyst. Case report. A large ossified sp…,General pathological conditions,0.6085,BEGINNER,normal,"assistant
The model predicted that the patient has a general pathological condition. The influential token ""meningocele"" is a type of physical disorder that affects the neural tube, which is part of the central nervous system. Meningocele is a congenital defect where the meninges, the protective covering of the brain and spinal cord, protrude through a defect in the skull or spine. This condition falls under the broader category of neural tube defects, which are a group of disorders that can affect the developing nervous system before birth. Therefore, the model likely inferred that the presence of a meningocele indicates a general pathologic condition related to the nervous system development.",1.0,1.0,38.79240366972476,13.264293577981658,14.836745963215662,BEGINNER / constrained decoding,constrained_decoding,46,109
Gallstone pancreatitis. Choosing and timing treatment. Patients with gallstone p…,Digestive system diseases,0.8022,BEGINNER,normal,"The model predicted Digestive system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,5.532499999999999,16.462500000000002,17.122413403193683,BEGINNER / constrained decoding,constrained_decoding,47,16
Angiotensin converting enzyme inhibitors and quality of life. The term quality o…,Cardiovascular diseases,0.9435,BEGINNER,normal,"assistant
The model predicted cardiovascular diseases because it identified hypertension as a key feature. Hypertension is a disease that affects the cardiovascular system, which includes the heart, blood vessels, and blood. When hypertension is present, it can lead to various cardiovascular diseases, such as heart disease, stroke, and heart failure. Therefore, the model likely considered hypertension to be a significant risk factor for cardiovascular diseases and made this prediction based on that information.",1.0,1.0,20.270154109589072,14.965856164383563,15.579741850924794,BEGINNER / constrained decoding,constrained_decoding,48,73
Swan-Ganz catheter-induced massive hemoptysis and pulmonary artery false aneurys…,Cardiovascular diseases,0.7713,BEGINNER,normal,"assistant
The model predicted cardiovascular diseases because it identified several key features that are strongly associated with this condition. Pulmonary artery is a blood vessel that carries blood from the heart to the lungs. Hemoptysis is the medical term for blood in the sputum, which can be a symptom of various conditions, including cardiovascular diseases. Hypertension, or high blood pressure, is a significant risk factor for cardiovascular diseases, as it can damage blood vessels and increase the risk of heart attacks and strokes. These features, along with the model's analysis, led it to conclude that cardiovascular diseases were the most likely diagnosis.",1.0,1.0,27.7113529411765,14.46207843137255,15.6451,BEGINNER / constrained decoding,constrained_decoding,49,102
Normalization of ventilation/perfusion relationships after liver transplantation…,Digestive system diseases,0.5919,EXPERT,normal,"The model predicted Digestive system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,5.532499999999999,16.462500000000002,17.122413403193683,EXPERT / normal,normal,0,16
Color Doppler imaging. A new noninvasive technique to diagnose and monitor carot…,Cardiovascular diseases,0.791,EXPERT,normal,"assistant
The model predicted cardiovascular diseases because it identified the cavernous sinus as an influential feature. The cavernous sinus is a venous dural sinus located within the skull that plays a crucial role in the circulation of cerebrospinal fluid and blood between the brain and the spinal cord. This anatomical location suggests a high likelihood of involvement in cardiovascular conditions due to its proximity to central nervous system structures. The presence of this feature indicates a strong association with vascular pathology, which aligns with the classification of cardiovascular diseases.",1.0,1.0,14.100688202247229,16.820084269662917,17.122413403193683,EXPERT / normal,normal,1,89
Endometriosis associated with massive ascites and absence of pelvic peritoneum. …,Digestive system diseases,0.6624,EXPERT,normal,"assistant
The model predicted 'Digestive system diseases' because it detected significant presence of ascites and peritoneum in the patient's condition. Ascites refers to fluid accumulation around the abdomen, which can be associated with various conditions affecting the digestive tract such as liver cirrhosis or heart failure. Peritoneum, being part of the peritoneal cavity that lines the abdominal organs, indicates inflammation or infection within this area, often linked to gastrointestinal issues like appendicitis or inflammatory bowel disease. Additionally, the mention of Endometriosis suggests involvement of the reproductive system, which can sometimes affect the digestive tract due to hormonal influences or structural abnormalities. These findings collectively point towards potential underlying causes related to the digestive system, leading to the model's classification.",1.0,1.0,0.6813613445378337,19.07687394957984,19.083932058031824,EXPERT / normal,normal,2,119
Long-term evaluation of indobufen in peripheral vascular disease. Indobufen--an …,Cardiovascular diseases,0.923,EXPERT,normal,"assistant
The model predicted cardiovascular diseases because it detected the presence of claudication, which is an abnormal sensation of pain that occurs during walking due to reduced blood flow to the legs. Claudication indicates peripheral artery disease, a condition affecting the arteries supplying blood to the limbs. This finding suggests a risk factor for cardiovascular diseases such as coronary artery disease, heart attack, or stroke. The model likely inferred from this symptom that there might be underlying vascular issues contributing to these conditions.",1.0,1.0,21.67013554216871,15.391656626506029,17.122413403193683,EXPERT / normal,normal,3,83
Salvage chemotherapy for patients with germ cell tumors. The Memorial Sloan-Kett…,Neoplasms,0.8961,EXPERT,normal,"assistant
The model predicted 'Neoplasms' because it identified the presence of cells within tissues, which suggests abnormal growth patterns indicative of neoplastic processes. Cells are fundamental units of life that differentiate from one another during development and function as the primary building blocks of all living organisms. In the context of medicine, cells can exhibit abnormalities such as mutations or dysregulation, leading to uncontrolled proliferation known as neoplasia. This prediction indicates an increased likelihood of cancerous conditions due to the observed cellular anomalies.",1.0,1.0,12.496641566265057,16.671174698795188,18.243605946275583,EXPERT / normal,normal,4,83
Evaluation of endosonography in TN staging of oesophageal cancer. Strategies for…,Neoplasms,0.6918,EXPERT,normal,"assistant
The model predicted 'Neoplasms' because it identified 'cancer' as an influential token among the key features analyzed. According to the ontology, 'cancer' is a type of neoplasm, which is defined as abnormal growth of cells that can form tumors. Therefore, since 'cancer' was deemed important by the model, it likely inferred that the patient has a condition classified under the broader term 'Neoplasms', encompassing all types of abnormal cell growth. This conclusion is supported by the fact that 'cancer' falls within the broader category of neoplastic disorders, further reinforcing the model's classification.",1.0,1.0,30.41044354838712,14.793629032258064,16.218646115125612,EXPERT / normal,normal,5,93
A unified hypothesis for the complex genetics of HLA associations with IDDM. Our…,General pathological conditions,0.7747,EXPERT,normal,"The model predicted General pathological conditions, but no ontology-based features were available to explain this decision.",0.0,0.0,-10.329999999999984,18.675,18.243605946275583,EXPERT / normal,normal,6,16
The cancer experience in the Framingham Heart Study cohort. The almost 40-year r…,Neoplasms,0.7808,EXPERT,normal,"assistant
The model predicted 'Neoplasms' because it identified the presence of both ""colon"" and ""group"" as key features. These tokens represent anatomical structures within the gastrointestinal system. Specifically, ""colon"" refers to the large intestine, which plays a crucial role in digestion and waste elimination. Meanwhile, ""group"" likely indicates a collection or cluster of cells that have undergone abnormal growth, consistent with neoplastic changes. Together, these features suggest an increased risk of developing cancerous tumors in this region of the body, leading to the classification of 'Neoplasms'.",1.0,1.0,29.030488372093032,13.483116279069773,14.554592549557764,EXPERT / normal,normal,7,86
Long-term (5 to 20 years) Evolution of nongrafted aplastic anemias. The Cooperat…,General pathological conditions,0.8099,EXPERT,normal,"assistant
The model predicted ""General pathological conditions"" because it detected multiple significant indicators that point towards systemic health issues affecting various organs and systems. Hepatitis, which falls under the broader category of liver disease within the gastrointestinal system, suggests inflammation or damage to the liver cells. The presence of ""This,"" an unspecified entity from the Coelopidae family, likely indicates some form of developmental anomaly or genetic condition. Lastly, the detection of leukemia, a type of blood cancer, further emphasizes systemic involvement across the hematopoietic system. These findings collectively suggest complex, multifaceted health problems involving multiple organ systems, thus leading to the classification of ""General pathological conditions.""",1.0,1.0,-3.037716981132064,18.94969811320755,19.083932058031824,EXPERT / normal,normal,8,106
Percutaneous biliary drainage for high obstruction. PBD is the preferred route o…,Digestive system diseases,0.7075,EXPERT,normal,"The model predicted Digestive system diseases, but no ontology-based features were available to explain this decision.",0.0,0.0,5.532499999999999,16.462500000000002,17.122413403193683,EXPERT / normal,normal,9,16
Lower extremity arterial disease in elderly subjects with systolic hypertension.…,Cardiovascular diseases,0.9408,EXPERT,normal,"assistant
The model predicted 'Cardiovascular diseases' because it identified hypertension as an influential factor. Hypertension, which is part of the broader category of cardiovascular diseases, involves high blood pressure that can lead to various complications affecting the heart, arteries, and other parts of the circulatory system. This condition directly impacts the cardiovascular health, making hypertension a significant risk factor for developing cardiovascular diseases such as coronary artery disease, stroke, and heart failure. Therefore, the model attributes hypertension to being a key element contributing to the classification of cardiovascular diseases.",1.0,1.0,-7.762233146067416,19.86952247191012,19.53771442962202,EXPERT / normal,normal,10,89
Role of surgery in antibiotic-induced pseudomembranous enterocolitis. With the i…,Digestive system diseases,0.7851,EXPERT,normal,"assistant
The model predicted 'Digestive system diseases' because it identified two key features that align with this classification: colitis and peritonitis. Colitis is an inflammation of the colon, which falls under the broader category of inflammatory bowel diseases. Peritonitis refers to infection or irritation of the abdominal lining, typically caused by inflammation elsewhere in the body. Both conditions directly relate to issues within the digestive tract, making 'Digestive system diseases' the most appropriate classification among the options presented.",1.0,1.0,8.080961538461565,16.976538461538464,17.971250198000288,EXPERT / normal,normal,11,78
Patient age and results of balloon aortic valvuloplasty: the Mansfield Scientifi…,Cardiovascular diseases,0.87,EXPERT,normal,"assistant
The model predicted 'Cardiovascular diseases' because it identified ""heart failure"" as an influential token among key features. Heart failure is a condition within the cardiovascular system that affects blood flow through the heart. This diagnosis indicates dysfunction in the heart's ability to pump blood effectively, which can lead to various complications such as fluid buildup around the lungs (pulmonary edema), fluid retention in the legs (peripheral edema), and other symptoms related to impaired circulation. Given this information, the model likely inferred that patients with heart failure have increased risk factors associated with cardiovascular diseases, including hypertension, diabetes, obesity, and smoking, all of which contribute to the development and progression of heart disease. Therefore, the presence of heart failure strongly suggests a higher likelihood of cardiovascular diseases being diagnosed in these individuals.",1.0,1.0,5.711727272727302,19.02115151515152,18.878054631974784,EXPERT / normal,normal,12,132
How ancient is temporal arteritis? Realism is one of the characteristics of Amar…,Cardiovascular diseases,0.9191,EXPERT,normal,"assistant
The model predicted cardiovascular diseases because it identified ""blindness"" as an influential factor. According to the ontology, blindness falls under the broader category of eye diseases, which are part of sensory system diseases, which are subcategories of nervous system diseases. This pathway suggests that conditions affecting vision could potentially lead to cardiovascular issues due to systemic effects such as hypertension or diabetes mellitus, both of which can contribute to heart disease. Therefore, the presence of blindness was deemed significant enough to predict cardiovascular diseases among other possibilities.",1.0,1.0,6.652727272727304,17.79681818181818,17.971250198000288,EXPERT / normal,normal,13,88
The role of elective lymph node dissection in the management of patients with th…,Neoplasms,0.8583,EXPERT,normal,"assistant
The model predicted 'Neoplasms' because it identified melanoma as an influential token among the key features analyzed. Melanoma is a type of neoplasm characterized by uncontrolled cellular proliferation within skin cells. This classification reflects the broader concept of neoplasms, which encompass all types of abnormal growths that occur outside of normal tissue boundaries. Therefore, melanoma serves as a representative example of neoplastic processes within the skin, leading to the overall prediction of 'Neoplasms'.",1.0,1.0,14.284527027027051,15.862837837837835,16.827784334635936,EXPERT / normal,normal,14,74
Systemic chemotherapy for urothelial cancer in patients with ureteric obstructio…,Neoplasms,0.6457,EXPERT,normal,"The model predicted Neoplasms, but no ontology-based features were available to explain this decision.",0.0,0.0,17.382142857142867,14.312857142857148,14.554592549557764,EXPERT / normal,normal,15,14
Central nervous system vasculitis after chickenpox--cause or coincidence? A 7.5 …,Cardiovascular diseases,0.4682,EXPERT,normal,"assistant
The model predicted 'Cardiovascular diseases' because it identified two key features that align with this diagnosis: vasculitis and chickenpox. Vasculitis is a condition affecting blood vessels, which can lead to inflammation and damage within the cardiovascular system. This fits well with the broader category of cardiovascular diseases. Chickenpox, while typically an acute viral infection, can sometimes affect the heart or cause complications related to the cardiovascular system, such as myocarditis. Therefore, both vasculitis and chickenpox contribute to the likelihood of a cardiovascular disease being diagnosed.",1.0,1.0,11.32351162790698,15.952883720930236,16.887214914478655,EXPERT / normal,normal,16,86
Intraepithelial anchoring fibril components. Cultured human keratinocytes and cu…,Neoplasms,0.8585,EXPERT,normal,"assistant
The model predicted 'Neoplasms' because it identified carcinoma as an influential token among key features. Carcinoma is a type of neoplasm characterized by abnormal growth of cells that can spread throughout the body. This classification indicates that the tumor originates from epithelial tissue and has the potential for metastasis. Therefore, carcinoma directly corresponds to the broader term 'Neoplasms', which encompasses all types of new growths or tumors.",1.0,1.0,24.11235294117651,14.119411764705884,15.579741850924794,EXPERT / normal,normal,17,68
